ISO (3),Companies,Symbols,Ratings,Risk,Industry,Environmental score,Social score,Governance score
USA,"1-800-FLOWERS.COM, Inc.",NAS:FLWS,23.6,Medium ESG Risk,Retailing,,,
DEU,1&1 AG,ETR:1U1,23.1,Medium ESG Risk,Telecommunication Services,,,
USA,"10X Genomics, Inc.",NAS:TXG,22.6,Medium ESG Risk,Pharmaceuticals,,,
POL,11 Bit Studios SA,WAR:11B,16.3,Low ESG Risk,Software & Services,,,
USA,1st Source Corp.,NAS:SRCE,29.1,Medium ESG Risk,Banks,,,
GBR,2020 Bulkers Ltd.,OSL:2020,24.4,Medium ESG Risk,Transportation,,,
USA,23andMe Holding Co.,NAS:ME,21.4,Medium ESG Risk,Pharmaceuticals,,,
AUS,29metals Ltd.,ASX:29M,41.2,Severe ESG Risk,Diversified Metals,,,
USA,"2seventy Bio, Inc.",NAS:TSVT,35.9,High ESG Risk,Pharmaceuticals,,,
USA,"2U, Inc.",NAS:TWOU,26.8,Medium ESG Risk,Software & Services,,,
IND,360 One Wam Ltd.,BOM:542772,33.3,High ESG Risk,Diversified Financials,,,
CHN,"360 Security Technology, Inc.",SHG:601360,22.1,Medium ESG Risk,Software & Services,,,
CHN,361 Degrees International Ltd.,HKG:1361,18.8,Low ESG Risk,Textiles & Apparel,,,
CHN,37 Interactive Entertainment Network Technology Group Co. Ltd.,SHE:002555,14.3,Low ESG Risk,Software & Services,,,
USA,"374Water, Inc.",NAS:SCWO,29.2,Medium ESG Risk,Commercial Services,,,
USA,3D Systems Corp.,NYS:DDD,23.0,Medium ESG Risk,Technology Hardware,,,
GBR,3i Group Plc,LON:III,10.4,Low ESG Risk,Diversified Financials,,,
USA,3M Co.,NYS:MMM,41.0,Severe ESG Risk,Industrial Conglomerates,17.2,13.6,6.5
IND,3M India Ltd.,BOM:523395,21.2,Medium ESG Risk,Industrial Conglomerates,,,
CHN,"3peak, Inc.",SHG:688536,21.2,Medium ESG Risk,Semiconductors,,,
BRA,3R Petroleum Óleo e Gás SA,BSP:RRRP3,56.7,Severe ESG Risk,Oil & Gas Producers,,,
USA,"4D Molecular Therapeutics, Inc.",NAS:FDMT,27.4,Medium ESG Risk,Pharmaceuticals,,,
GBR,4imprint Group Plc,LON:FOUR,17.2,Low ESG Risk,Media,,,
USA,"5E Advanced Materials, Inc.",NAS:FEAM,42.0,Severe ESG Risk,Chemicals,,,
CHN,5I5J Holding Group Co. Ltd.,SHE:000560,14.9,Low ESG Risk,Real Estate,,,
MYS,7-Eleven Malaysia Holdings Bhd.,KLS:5250,24.6,Medium ESG Risk,Food Retailers,,,
GBR,888 Holdings Plc,LON:888,19.0,Low ESG Risk,Consumer Services,,,
USA,"89bio, Inc.",NAS:ETNB,32.9,High ESG Risk,Pharmaceuticals,,,
USA,"8x8, Inc.",NAS:EGHT,29.9,Medium ESG Risk,Telecommunication Services,,,
USA,"908 Devices, Inc.",NAS:MASS,36.8,High ESG Risk,Healthcare,,,
CHN,"91APP, Inc.",ROCO:6741,20.6,Medium ESG Risk,Software & Services,,,
CHN,"A-Living Smart City Services Co., Ltd.",HKG:3319,11.3,Low ESG Risk,Real Estate,,,
USA,"A-Mark Precious Metals, Inc.",NAS:AMRK,30.3,High ESG Risk,Diversified Financials,,,
USA,A. O. Smith Corp.,NYS:AOS,26.6,Medium ESG Risk,Machinery,,,
GBR,A.G. BARR Plc,LON:BAG,28.2,Medium ESG Risk,Food Products,,,
DNK,A.P. Møller-Mærsk A/S,CSE:MAERSK.B,16.7,Low ESG Risk,Transportation,,,
USA,"A10 Networks, Inc.",NYS:ATEN,20.5,Medium ESG Risk,Software & Services,,,
ITA,A2A SpA,MIL:A2A,21.3,Medium ESG Risk,Utilities,,,
