ISO (3),Companies,Symbols,Ratings,Risk,Industry,Environmental score,Social score,Governance score
USA,3M Co.,NYS:MMM,41.0,Severe ESG Risk,Industrial Conglomerates,17.2,13.6,6.5
IRL,Accenture Plc,NYS:ACN,9.8,Negligible ESG Risk,Software & Services,0.8,4.6,4.4
ESP,ACS Actividades de Construcción y Servicios SA,MCE:ACS,30.8,High ESG Risk,Construction & Engineering,8.3,19.8,8.7
DEU,adidas AG,ETR:ADS,14.6,Low ESG Risk,Textiles & Apparel,2.6,6.7,5.6
USA,"Adobe, Inc.",NAS:ADBE,14.9,Low ESG Risk,Software & Services,1.9,6.0,5.2
USA,"Agilent Technologies, Inc.",NYS:A,13.3,Low ESG Risk,Pharmaceuticals,1.1,6.4,6.1
CAN,Agnico Eagle Mines Ltd.,TSE:AEM,21.4,Medium ESG Risk,Precious Metals,8.8,7.4,5.2
FRA,Airbus SE,PAR:AIR,25.6,Medium ESG Risk,Aerospace & Defense,5.9,11.0,8.0
USA,"Alexandria Real Estate Equities, Inc.",NYS:ARE,13.2,Low ESG Risk,Real Estate,3.9,3.7,6.3
DEU,Allianz SE,ETR:ALV,13.3,Low ESG Risk,Insurance,0.6,6.2,6.4
USA,"Altria Group, Inc.",NYS:MO,31.3,High ESG Risk,Food Products,6.1,17.6,7.6
USA,"Amazon.com, Inc.",NAS:AMZN,30.0,High ESG Risk,Retailing,6.0,15.4,9.2
USA,"American Electric Power Co., Inc.",NAS:AEP,23.9,Medium ESG Risk,Utilities,12.7,8.1,5.4
USA,American Express Co.,NYS:AXP,19.3,Low ESG Risk,Diversified Financials,0.1,8.9,9.7
USA,"American Water Works Co., Inc.",NYS:AWK,19.4,Low ESG Risk,Utilities,9.0,7.6,5.0
USA,"Ameriprise Financial, Inc.",NYS:AMP,20.3,Medium ESG Risk,Diversified Financials,2.1,7.8,10.3
USA,"Amgen, Inc.",NAS:AMGN,23.8,Medium ESG Risk,Pharmaceuticals,0.7,13.5,7.8
LUX,ArcelorMittal SA,AMS:MT,38.1,High ESG Risk,Steel,14.9,14.6,6.7
USA,SBA Communications Corp.,NAS:SBAC,10.4,Low ESG Risk,Real Estate,3.1,3.2,5.2
USA,"Constellation Brands, Inc.",NYS:STZ,26.7,Medium ESG Risk,Food Products,9.4,10.0,5.2
USA,Stryker Corp.,NYS:SYK,24.6,Medium ESG Risk,Healthcare,4.0,13.2,11.0
USA,"Fidelity National Information Services, Inc.",NYS:FIS,17.4,Low ESG Risk,Software & Services,4.1,8.2,5.2
CHE,UBS Group AG,SWX:UBSG,27.5,Medium ESG Risk,Diversified Financials,1.0,12.5,14.7
USA,Westinghouse Air Brake Technologies Corp.,NYS:WAB,23.6,Medium ESG Risk,Machinery,5.4,12.0,6.0
