Companies,Symbols,Ratings,Risk
"1-800-FLOWERS.COM, Inc.",NAS:FLWS,23.6,Medium ESG Risk
1&1 AG,ETR:1U1,23.1,Medium ESG Risk
"10X Genomics, Inc.",NAS:TXG,22.6,Medium ESG Risk
11 Bit Studios SA,WAR:11B,16.3,Low ESG Risk
1st Source Corp.,NAS:SRCE,29.1,Medium ESG Risk
2020 Bulkers Ltd.,OSL:2020,24.4,Medium ESG Risk
23andMe Holding Co.,NAS:ME,21.4,Medium ESG Risk
29metals Ltd.,ASX:29M,41.2,Severe ESG Risk
2i Rete Gas SpA,-,22.6,Medium ESG Risk
"2seventy Bio, Inc.",NAS:TSVT,35.9,High ESG Risk
"2U, Inc.",NAS:TWOU,26.8,Medium ESG Risk
360 One Wam Ltd.,BOM:542772,33.3,High ESG Risk
"360 Security Technology, Inc.",SHG:601360,22.1,Medium ESG Risk
361 Degrees International Ltd.,HKG:1361,18.8,Low ESG Risk
37 Interactive Entertainment Network Technology Group Co. Ltd.,SHE:002555,14.3,Low ESG Risk
"374Water, Inc.",NAS:SCWO,29.2,Medium ESG Risk
3D Systems Corp.,NYS:DDD,23.0,Medium ESG Risk
3i Group Plc,LON:III,10.4,Low ESG Risk
3M Co.,NYS:MMM,41.0,Severe ESG Risk
3M India Ltd.,BOM:523395,21.2,Medium ESG Risk
"3peak, Inc.",SHG:688536,21.2,Medium ESG Risk
3R Petroleum Óleo e Gás SA,BSP:RRRP3,56.7,Severe ESG Risk
"3SBio, Inc.",HKG:1530,25.7,Medium ESG Risk
407 East Development Group GP,-,44.0,Severe ESG Risk
"407 International, Inc.",-,10.2,Low ESG Risk
"4D Molecular Therapeutics, Inc.",NAS:FDMT,27.4,Medium ESG Risk
4imprint Group Plc,LON:FOUR,17.2,Low ESG Risk
501(c) Agencies Trust,-,35.1,High ESG Risk
"5E Advanced Materials, Inc.",NAS:FEAM,42.0,Severe ESG Risk
5I5J Holding Group Co. Ltd.,SHE:000560,14.9,Low ESG Risk
7-Eleven Malaysia Holdings Bhd.,KLS:5250,24.6,Medium ESG Risk
"7-Eleven, Inc.",-,35.1,High ESG Risk
888 Holdings Plc,LON:888,19.0,Low ESG Risk
"89bio, Inc.",NAS:ETNB,32.9,High ESG Risk
"8x8, Inc.",NAS:EGHT,29.9,Medium ESG Risk
"908 Devices, Inc.",NAS:MASS,36.8,High ESG Risk
"91APP, Inc.",ROCO:6741,20.6,Medium ESG Risk
"A-Living Smart City Services Co., Ltd.",HKG:3319,11.3,Low ESG Risk
"A-Mark Precious Metals, Inc.",NAS:AMRK,30.3,High ESG Risk
A. O. Smith Corp.,NYS:AOS,26.6,Medium ESG Risk
A.G. BARR Plc,LON:BAG,28.2,Medium ESG Risk
A.P. Møller-Mærsk A/S,CSE:MAERSK.B,16.7,Low ESG Risk
"A10 Networks, Inc.",NYS:ATEN,20.5,Medium ESG Risk
A2A SpA,MIL:A2A,21.3,Medium ESG Risk
A2Dominion Housing Group Ltd.,-,16.6,Low ESG Risk
AA Ltd.,-,17.5,Low ESG Risk
"AAC Technologies Holdings, Inc.",HKG:2018,18.8,Low ESG Risk
"Aadi Bioscience, Inc.",NAS:AADI,26.4,Medium ESG Risk
AAK AB,OME:AAK,26.7,Medium ESG Risk
Aalberts NV,AMS:AALB,23.1,Medium ESG Risk
Aamal Co. QSC,DSMD:AHCS,39.4,High ESG Risk
"AAON, Inc.",NAS:AAON,22.8,Medium ESG Risk
AAR Corp.,NYS:AIR,34.0,High ESG Risk
Aareal Bank AG,HAM:ARLN,18.7,Low ESG Risk
Aarti Drugs Ltd.,BOM:524348,34.9,High ESG Risk
AARTI Industries Ltd.,BOM:524208,23.0,Medium ESG Risk
Aavas Financiers Ltd.,BOM:541988,26.2,Medium ESG Risk
AB Dynamics Plc,LON:ABDP,17.9,Low ESG Risk
AB Science SA,PAR:AB,32.5,High ESG Risk
Abacus Group,ASX:ABG,13.4,Low ESG Risk
ABANCA Corporación Bancaria SA,-,6.7,Negligible ESG Risk
ABB India Ltd.,BOM:500002,20.7,Medium ESG Risk
ABB Ltd.,SWX:ABBN,15.4,Low ESG Risk
Abbott Laboratories,NYS:ABT,23.2,Medium ESG Risk
"AbbVie, Inc.",NYS:ABBV,26.9,Medium ESG Risk
ABC arbitrage SA,PAR:ABCA,30.2,High ESG Risk
"ABC-MART, INC.",TKS:2670,19.6,Low ESG Risk
"AbCellera Biologics, Inc.",NAS:ABCL,29.7,Medium ESG Risk
"AbClon, Inc.",KRX:174900,32.5,High ESG Risk
Abdullah Al Othaim Markets Co.,SAU:4001,29.4,Medium ESG Risk
Abengoa SA,-,33.4,High ESG Risk
Abengoa Transmisión Sur SA,-,22.9,Medium ESG Risk
Abercrombie & Fitch Co.,NYS:ANF,15.0,Low ESG Risk
Abertis Infraestructuras SA,-,7.1,Negligible ESG Risk
ABG Sundal Collier Holding ASA,OSL:ABG,29.4,Medium ESG Risk
"Ability Enterprise Co., Ltd.",TAI:2374,20.8,Medium ESG Risk
"Ability Opto-Electronics Technology Co., Ltd.",ROCO:3362,28.6,Medium ESG Risk
Abivax SA,PAR:ABVX,33.3,High ESG Risk
"ABL Bio, Inc.",KRX:298380,37.1,High ESG Risk
"ABLE C&C Co., Ltd.",KRX:078520,33.6,High ESG Risk
Abliva AB,OME:ABLI,29.2,Medium ESG Risk
"ABM Industries, Inc.",NYS:ABM,13.6,Low ESG Risk
ABN AMRO Bank NV,AMS:ABN,21.8,Medium ESG Risk
"Aboitiz Equity Ventures, Inc.",PHS:AEV,45.6,Severe ESG Risk
Aboitiz Power Corp.,PHS:AP,28.7,Medium ESG Risk
ABOUT YOU Holding SE,ETR:YOU,16.2,Low ESG Risk
abrdn European Logistics Income Plc,LON:ASLI,32.1,High ESG Risk
abrdn Plc,LON:ABDN,17.2,Low ESG Risk
abrdn Property Income Trust Ltd.,LON:API,11.3,Low ESG Risk
Absa Group Ltd.,JSE:ABG,27.7,Medium ESG Risk
Absolute Clean Energy PCL,BKK:ACE,19.7,Low ESG Risk
Absolute Software Corp.,-,24.1,Medium ESG Risk
Abu Dhabi Aviation Co.,ADS:ADAVIATION,31.9,High ESG Risk
Abu Dhabi Commercial Bank,ADS:ADCB,12.5,Low ESG Risk
Abu Dhabi Crude Oil Pipeline LLC,-,37.8,High ESG Risk
Abu Dhabi Islamic Bank,ADS:ADIB,29.6,Medium ESG Risk
Abu Dhabi National Energy Co. PJSC,ADS:TAQA,18.1,Low ESG Risk
Abu Dhabi National Hotels,ADS:ADNH,31.6,High ESG Risk
Abu Dhabi National Insurance Co. PSC,ADS:ADNIC,33.9,High ESG Risk
Abu Dhabi National Oil Co. for Distribution PJSC,ADS:ADNOCDIST,25.4,Medium ESG Risk
Abu Dhabi Ports Co. PJSC,ADS:ADPORTS,18.5,Low ESG Risk
"AC Energy, Inc.",-,20.5,Medium ESG Risk
AcadeMedia AB,OME:ACAD,15.7,Low ESG Risk
"Academy Sports & Outdoors, Inc.",NAS:ASO,15.7,Low ESG Risk
"Acadia Healthcare Co., Inc.",NAS:ACHC,29.5,Medium ESG Risk
"ACADIA Pharmaceuticals, Inc.",NAS:ACAD,24.4,Medium ESG Risk
Acadia Realty Trust,NYS:AKR,13.9,Low ESG Risk
"AcBel Polytech, Inc.",TAI:6282,20.0,Low ESG Risk
ACC Ltd.,BOM:500410,29.3,Medium ESG Risk
"Accel Entertainment, Inc.",NYS:ACEL,19.5,Low ESG Risk
